sub	trial	file	base	vc	vot	f0	choice
S029	1	pha_vcNone_0_95.wav	pha	vcNone	0	95	ph
S029	2	bha_vcNone_50_123.wav	bha	vcNone	50	123	ph
S029	3	bha_vcLong_100_95.wav	bha	vcLong	100	95	bh
S029	4	pha_vcLong_75_123.wav	pha	vcLong	75	123	bh
S029	5	bha_vcLong_75_123.wav	bha	vcLong	75	123	bh
S029	6	bha_vcNone_25_150.wav	bha	vcNone	25	150	p
S029	7	bha_vcNone_50_95.wav	bha	vcNone	50	95	bh
S029	8	pha_vcShort_0_123.wav	pha	vcShort	0	123	b
S029	9	pha_vcLong_0_95.wav	pha	vcLong	0	95	bh
S029	10	bha_vcLong_75_150.wav	bha	vcLong	75	150	bh
S029	11	pha_vcShort_50_95.wav	pha	vcShort	50	95	bh
S029	12	bha_vcShort_75_95.wav	bha	vcShort	75	95	bh
S029	13	bha_vcNone_0_123.wav	bha	vcNone	0	123	p
S029	14	bha_vcShort_25_123.wav	bha	vcShort	25	123	bh
S029	15	bha_vcLong_50_150.wav	bha	vcLong	50	150	bh
S029	16	pha_vcShort_0_150.wav	pha	vcShort	0	150	b
S029	17	pha_vcLong_100_95.wav	pha	vcLong	100	95	bh
S029	18	bha_vcShort_25_150.wav	bha	vcShort	25	150	bh
S029	19	pha_vcLong_50_123.wav	pha	vcLong	50	123	bh
S029	20	bha_vcShort_0_95.wav	bha	vcShort	0	95	bh
S029	21	bha_vcLong_100_123.wav	bha	vcLong	100	123	bh
S029	22	bha_vcShort_50_150.wav	bha	vcShort	50	150	bh
S029	23	bha_vcNone_25_95.wav	bha	vcNone	25	95	bh
S029	24	pha_vcLong_75_150.wav	pha	vcLong	75	150	bh
S029	25	pha_vcLong_50_150.wav	pha	vcLong	50	150	bh
S029	26	pha_vcNone_75_123.wav	pha	vcNone	75	123	ph
S029	27	bha_vcShort_0_123.wav	bha	vcShort	0	123	b
S029	28	bha_vcShort_75_123.wav	bha	vcShort	75	123	bh
S029	29	pha_vcLong_75_95.wav	pha	vcLong	75	95	bh
S029	30	pha_vcNone_75_150.wav	pha	vcNone	75	150	ph
S029	31	bha_vcLong_0_95.wav	bha	vcLong	0	95	bh
S029	32	bha_vcLong_75_95.wav	bha	vcLong	75	95	bh
S029	33	bha_vcNone_75_150.wav	bha	vcNone	75	150	ph
S029	34	pha_vcNone_25_95.wav	pha	vcNone	25	95	ph
S029	35	pha_vcNone_50_123.wav	pha	vcNone	50	123	ph
S029	36	bha_vcLong_25_95.wav	bha	vcLong	25	95	bh
S029	37	pha_vcShort_50_150.wav	pha	vcShort	50	150	bh
S029	38	bha_vcLong_50_123.wav	bha	vcLong	50	123	bh
S029	39	pha_vcLong_25_123.wav	pha	vcLong	25	123	bh
S029	40	pha_vcLong_0_150.wav	pha	vcLong	0	150	b
S029	41	bha_vcNone_100_150.wav	bha	vcNone	100	150	ph
S029	42	pha_vcLong_25_95.wav	pha	vcLong	25	95	bh
S029	43	pha_vcShort_0_95.wav	pha	vcShort	0	95	b
S029	44	pha_vcLong_50_95.wav	pha	vcLong	50	95	bh
S029	45	pha_vcNone_0_123.wav	pha	vcNone	0	123	p
S029	46	pha_vcNone_100_150.wav	pha	vcNone	100	150	ph
S029	47	bha_vcShort_100_150.wav	bha	vcShort	100	150	bh
S029	48	pha_vcNone_25_150.wav	pha	vcNone	25	150	ph
S029	49	pha_vcLong_100_150.wav	pha	vcLong	100	150	bh
S029	50	pha_vcShort_75_150.wav	pha	vcShort	75	150	bh
S029	51	bha_vcNone_75_95.wav	bha	vcNone	75	95	bh
